NIVEL_ACCESO,GRADO_MERCADO,SUPERFICIE_HA,DEPARTAMEN,PROVINCIA,DISTRITO
ALTA,OPTIMA,0.93,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.61,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.47,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.86,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.49,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,8.05,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.51,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.52,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.53,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.26,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.51,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.50,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.74,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.99,HUANUCO,AMBO,CONCHAMARCA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,CONCHAMARCA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,CONCHAMARCA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,CONCHAMARCA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,CONCHAMARCA
ALTA,ALTO POTENCIAL,2133.92,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,130.10,HUANUCO,AMBO,HUACAR
ALTA,OPTIMA,2.54,HUANUCO,AMBO,HUACAR
ALTA,OPTIMA,3.18,HUANUCO,AMBO,HUACAR
ALTA,OPTIMA,5.60,HUANUCO,AMBO,HUACAR
ALTA,OPTIMA,158.58,HUANUCO,AMBO,HUACAR
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,HUACAR
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,HUACAR
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,HUACAR
ALTA,ALTO POTENCIAL,484.74,HUANUCO,AMBO,HUACAR
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,SAN FRANCISCO
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,SAN FRANCISCO
ALTA,ALTO POTENCIAL,332.51,HUANUCO,AMBO,SAN FRANCISCO
ALTA,ALTO POTENCIAL,6804.43,HUANUCO,AMBO,SAN RAFAEL
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,SAN RAFAEL
ALTA,OPTIMA,0.02,HUANUCO,AMBO,TOMAY KICHWA
ALTA,OPTIMA,1.40,HUANUCO,AMBO,TOMAY KICHWA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,TOMAY KICHWA
ALTA,ALTO POTENCIAL,1649.72,HUANUCO,AMBO,TOMAY KICHWA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,TOMAY KICHWA
MEDIA,RIESGO / BAJA,2.98,HUANUCO,DOS DE MAYO,CHUQUIS
ALTA,ALTO POTENCIAL,1643.42,HUANUCO,DOS DE MAYO,CHUQUIS
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,CHUQUIS
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,CHUQUIS
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,CHUQUIS
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,LA UNION
ALTA,ALTO POTENCIAL,846.56,HUANUCO,DOS DE MAYO,LA UNION
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,LA UNION
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,LA UNION
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,MARIAS
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,MARIAS
MEDIA,RIESGO / BAJA,26.05,HUANUCO,DOS DE MAYO,MARIAS
ALTA,ALTO POTENCIAL,1439.54,HUANUCO,DOS DE MAYO,MARIAS
ALTA,OPTIMA,11.32,HUANUCO,DOS DE MAYO,PACHAS
ALTA,OPTIMA,32.08,HUANUCO,DOS DE MAYO,PACHAS
ALTA,OPTIMA,4.10,HUANUCO,DOS DE MAYO,PACHAS
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,PACHAS
MEDIA,RIESGO / BAJA,46.74,HUANUCO,DOS DE MAYO,PACHAS
ALTA,ALTO POTENCIAL,324.31,HUANUCO,DOS DE MAYO,PACHAS
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,PACHAS
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,PACHAS
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,PACHAS
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,PACHAS
ALTA,ALTO POTENCIAL,304.70,HUANUCO,DOS DE MAYO,QUIVILLA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,QUIVILLA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,QUIVILLA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,RIPAN
ALTA,ALTO POTENCIAL,800.63,HUANUCO,DOS DE MAYO,RIPAN
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,RIPAN
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,RIPAN
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,SHUNQUI
ALTA,ALTO POTENCIAL,0.11,HUANUCO,DOS DE MAYO,SHUNQUI
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,SILLAPATA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,SILLAPATA
ALTA,ALTO POTENCIAL,4.98,HUANUCO,DOS DE MAYO,SILLAPATA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,YANAS
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,YANAS
ALTA,ALTO POTENCIAL,0.00,HUANUCO,DOS DE MAYO,YANAS
ALTA,ALTO POTENCIAL,3.17,HUANUCO,DOS DE MAYO,YANAS
ALTA,OPTIMA,0.01,HUANUCO,HUACAYBAMBA,CANCHABAMBA
MEDIA,RIESGO / BAJA,24.35,HUANUCO,HUACAYBAMBA,CANCHABAMBA
ALTA,ALTO POTENCIAL,1486.93,HUANUCO,HUACAYBAMBA,CANCHABAMBA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,HUACAYBAMBA,CANCHABAMBA
ALTA,OPTIMA,1.73,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,0.67,HUANUCO,HUACAYBAMBA,COCHABAMBA
ALTA,OPTIMA,2.48,HUANUCO,HUACAYBAMBA,COCHABAMBA
