APTITUD_PI,NOM_DEP,NOM_PROV,NOM_DIST,SUPERFICIE_HA
PROTECCION,CAJAMARCA,CUTERVO,CHOROS,14360.04682
FORESTAL PRODUCTIVO,CAJAMARCA,SAN MIGUEL,LA FLORIDA,2.467127933
PROTECCION,CAJAMARCA,CHOTA,ANGUIA,5914.990168
OTROS / SIN CLASIFICAR,SAN MARTIN,TOCACHE,UCHIZA,87.20805244
FORESTAL PRODUCTIVO,CAJAMARCA,CAJABAMBA,CAJABAMBA,6986.162075
PROTECCION,SAN MARTIN,HUALLAGA,ALTO SAPOSOA,3018.452294
AGRICOLA,CAJAMARCA,CELENDIN,OXAMARCA,374.619742
PROTECCION,SAN MARTIN,MOYOBAMBA,HABANA,0.942648815
PROTECCION,SAN MARTIN,MOYOBAMBA,YANTALO,15.85053641
FORESTAL PRODUCTIVO,ANCASH,CARHUAZ,CARHUAZ,5357.359864
FORESTAL PRODUCTIVO,CAJAMARCA,SAN MIGUEL,NIEPOS,8343.121484
AGRICOLA,HUANUCO,HUANUCO,HUANUCO,1207.188219
FORESTAL PRODUCTIVO,HUANUCO,YAROWILCA,APARICIO POMARES,0.869914888
FORESTAL PRODUCTIVO,ANCASH,MARISCAL LUZURIAGA,CASCA,4197.510373
AGRICOLA,CAJAMARCA,CUTERVO,QUEROCOTILLO,1096.996353
PROTECCION,JUNIN,TARMA,LA UNION,8964.498469
FORESTAL PRODUCTIVO,CAJAMARCA,SANTA CRUZ,LA ESPERANZA,5852.738731
PROTECCION,ANCASH,CARHUAZ,MARCARA,15545.3261
FORESTAL PRODUCTIVO,CAJAMARCA,SAN IGNACIO,TABACONAS,39765.5316
PECUARIO,JUNIN,JAUJA,SAUSA,92.80390005
AGRICOLA,HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,12215.14089
PROTECCION,ANCASH,RECUAY,PAMPAS CHICO,7309.419889
AGRICOLA,JUNIN,SATIPO,MAZAMARI,9406.586242
FORESTAL PRODUCTIVO,SAN MARTIN,MOYOBAMBA,SORITOR,57683.79911
AGRICOLA,ANCASH,AIJA,HUACLLAN,2911.27951
PROTECCION,ANCASH,POMABAMBA,QUINUABAMBA,6845.296814
PROTECCION,ANCASH,HUARMEY,CULEBRAS,59656.90436
PROTECCION,JUNIN,JAUJA,MASMA CHICCHE,863.0392402
PROTECCION,HUANUCO,PACHITEA,UMARI,7289.336453
PROTECCION,ANCASH,RECUAY,MARCA,11568.43091
PECUARIO,JUNIN,JAUJA,HUAMALI,421.5252774
PROTECCION,SAN MARTIN,RIOJA,AWAJUN,17655.0746
FORESTAL PRODUCTIVO,CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,4932.661644
PROTECCION,MADRE DE DIOS,MANU,HUEPETUHE,74682.2374
FORESTAL PRODUCTIVO,CAJAMARCA,CAJABAMBA,CONDEBAMBA,3454.676649
PECUARIO,ANCASH,CORONGO,CORONGO,1122.108238
PROTECCION,CAJAMARCA,SAN MIGUEL,SAN GREGORIO,15126.15307
FORESTAL PRODUCTIVO,ANCASH,OCROS,CAJAMARQUILLA,11.15487265
FORESTAL PRODUCTIVO,SAN MARTIN,TOCACHE,UCHIZA,48848.47458
PROTECCION,PASCO,DANIEL ALCIDES CARRION,CHACAYAN,5969.05169
PROTECCION,ANCASH,AIJA,LA MERCED,12848.79922
PECUARIO,JUNIN,CHUPACA,YANACANCHA,69564.38415
FORESTAL PRODUCTIVO,ANCASH,HUARI,CAJAY,4442.468902
AGRICOLA,HUANUCO,AMBO,CONCHAMARCA,19.2706261
PECUARIO,CAJAMARCA,SAN MIGUEL,LLAPA,12069.34037
FORESTAL PRODUCTIVO,PASCO,OXAPAMPA,PALCAZU,35551.15674
PECUARIO,HUANUCO,HUANUCO,SAN PABLO DE PILLAO,6775.592651
AGRICOLA,JUNIN,HUANCAYO,HUACRAPUQUIO,628.460059
AGRICOLA,JUNIN,YAULI,YAULI,63.4858166
FORESTAL PRODUCTIVO,ANCASH,CARHUAZ,ANTA,1934.420126
AGRICOLA,CAJAMARCA,CHOTA,PION,23.44313126
AGRICOLA,CAJAMARCA,JAEN,JAEN,13750.21141
AGRICOLA,JUNIN,YAULI,SUITUCANCHA,9.935925452
FORESTAL PRODUCTIVO,CAJAMARCA,CAJABAMBA,SITACOCHA,3742.422134
AGRICOLA,JUNIN,JAUJA,CANCHAYLLO,254.8818145
AGRICOLA,CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,19.71938462
AGRICOLA,JUNIN,CONCEPCION,ORCOTUNA,3503.329179
PROTECCION,JUNIN,HUANCAYO,CARHUACALLANGA,498.3762545
AGRICOLA,HUANUCO,MARAÑON,LA MORADA,14317.82189
